Question,Answer,Category,Crop,QueryType
asking about planting time of arecanut and coconut,"recommended time in assam for arecanut and coconut is mar-apr/sept-oct. for coconut mar-apr in highland condition and sept-oct in low land condition
fertilizer dose for 1 yr old plant urea @ 65gm/plant, ssp@ 94gm/plant and mop@ 84gm/plant in ring structure at the base",General,General,General
asking about the weeding in bagan of coconut plants,told him to not apply weedicide in coconut bagan as it will effect in plants also,General,General,General
asking about control of damping off in betelvine,recommended to drench soil with blitox 50 @ 2gm/l water . 3 doses at 5 days interval,General,General,General
root rot of ridge gourd.,advised to spray saaf of contaf @ 2 gram / liter water.,General,General,General
asking about the control measure for the damage caused by fruit fly.,advised to spray malathion(killer)@ 2 ml/lit water mix with 10 gram/lit water.,General,General,General
asking about the control measure for stem rot in sponge gourd.,advised to spray tata master @ 2 gram/lit water.,General,General,General
asking about cultural practices of banana,"suggested to farmer that
sucker selection- sword sucker with pest and disease free
variety-jahaji
spacing- 1.8 m x 1.8 m
season-march - may
fertilizer- urea-150 g ssp- 200 g mop-100 g fym-10 kg per plant",General,General,General
asking about the way to improve crop growth and production in pointed gourd.,advised to spray npk @ 10 gram/lit water mix with tracel @ 2 gram/lit water.(100 gram npk in 10 lit water and 20 gram tracel) 2 sprays in 7 days interval.,General,General,General
control of blight in tomato,spray tata master @ 2 gm per liter of water four times at five days interval,General,General,General
asking about the control measure for termite in arecanuts.,advised to spray tricel 20 ec @ 3 ml/lit water at the base of the plants.,General,General,General
query regarding  duckery,"enrocin 1 gnm/ lits water for three days, livsee 5 ml / 50 nos of birds",General,General,General
asking about the control of bitterness in cucumber,told him to spray succinic acid @ 1ml / 3 l of water,General,General,General
asking about fruit rot and fruit fall,"recommended to spray indofil m 45 @ 2gm/l water . 3 doses at 5 days interval against fruit rot / phol posa.
borux @ 30-50gm per plant in ring structure 
spray vitamin mahaphal @ 2ml/l water during flowering at 10 days interval",General,General,General
query regarding red pumkin beetle in pumkin,suggested him to spray malathion 50ec @ 2ml/lit of water,General,General,General
asking about cultivation practices of banana,"told him select sword suckers of 1.5 to 2.0 kg weight which are free from diseases and nematodes. 
spacing-1.8m x 1.8m
size of pit-45cm x 45cm x 45 cm
apply furadan",General,General,General
asking about fertilizer does in fish pond,"recommended that urea@1kg/.5bigha/month,ssp@2kg/.5bigha/month,lime @5kg/bigha/month",General,General,General
asking about sowing time of mustard,suggested sowing time of mustard as oct-nov,General,General,General
query regarding a dairy farm,"housing , cost of breed ,medicine & vaccine utensil & appliance water & electricity supply etc should be considered prior to established a dairy farm",General,General,General
query regarding poultry breed - kamrupa,"a new strain of poultry breed has develope in assam ( by assamese scientist ) which can be regarded as duel purpose breed ( both for meat & egg production ) the tenderness& quality of meat is same as other breed & egg production is almost same as other layer breed . it is beneficial for poultry farmer because some breed which performance & growth is not optimum , such breed can be sell/cull from the flock for meat purpose before they reaching the production stage, thus reducing the managemental cost.",General,General,General
query regarding  bloat,dns 4 bottle - infuse i/ vly  floraboost 10 nos  - 4 boli orally at a triat  afanil 1 bottle -1/2 bottle orally bid,General,General,General
asking about citrus trunk borer problem,suggested to apply decis @ 2ml per litre of water using cotton,General,General,General
asking about the nutrient management in mango,told him to spray planofix @1ml / 5 l of water,General,General,General
asking about control of leaf folder,"recommended to spray tricel 20 or classic 20 @ 2ml/l water 3 days at 3 days interval
also spray crop booster paddy special @ 2gm /l water",General,General,General
query regarding oestrous of a cow,deworm the animal. inject tonophosphen 30 ml as directed.give a course of an antibiotic & dexona injection . livsee orally for 15 days prior to insemination .,General,General,General
feed for fishes,feed with mixture of rice bran (50%) and oil cake(50%) along with agrimin forte @ 8 gm/kg of feed,General,General,General
query regarding  indigestion of a lactating cow,"i/v infusion of normal saine 3 bottle, afanil 1/2 bottle at a trait.anigest 30 gm 3ph  - i5 gm orally bid, floraboost 20 nos( 2 bolus with 15 gm anigest, preferably mixing with molaasses) after 5 days inject pepsd 10 ml - 2.5 ml i/ v ly every on alternate day , or livsee 5 ml orally daily",General,General,General
asking about bud rot in arecanut,"copper sulphate powder - one kg
lime - 1 kg
water - 100 litres
one kg of copper sulphate powder is dissolved in 50 litres of water. similarly, 1 kg of lime is powdered and dissolved in another 50 litres of water. then copper sulphate solution is slowly added to lime solution with constant stirring or alternatively, both the solutions may be poured simultaneously to a third contained and mixed well.",General,General,General
query regarding post pyretic condition of a pig,"(if temperature is subside after administration of enrocin 15 ml & melonex plus 30 ml  as directed earlier) now, liver tonic  liv -52 , 5 ml orally daily  for 5 days. vitaplex 5 ml orally daily  for 5 days.( inject pepsid 2 ml i/ mly every on alternate day if swallowing is difficult ) floraboost bolus 10 nos  mix with anigest  60 gm (30 gm 2 pkt) to be given orallywith molasses , till the digestive function is not restore.provide prs solution as directed . report after 7 days",General,General,General
asking about the nutreint management in spinegourd,told him to spray tracel 2 @ 2gm / l of water,General,General,General
query regarding  piggery,"capital investment , selection of breed , feed cost managemental cost , electricity & water supply , labour cost, medicine & vaccine  etc should be consider prior to establish a pig farm",General,General,General
asking about oxygen deficiency in fish pond,recommended that application of oxygen grow for oxygen level increasing in fish pond and cleaner for cleaning water,General,General,General
asking about control pf mosaic in spine gourd,told him spray rogor @ 2ml/lit of watewr,General,General,General
asking about the fertilizer dose for banana after planting.,"advised to apply urea 150 gm,ssp 300 gm,mop 120 gm/plant,dry cowdung or vermicompost 2-3 kg/plant after 3 months and 5 months planting in ring method.also apply banana of multiplex @ 100 gm/plant.apply furadon 3g in pits during planting @ 30 gm/plant.",General,General,General
asking about the way to intitiate growth in neem sapling.,"advised to apply urea 20 gm,dap 20 gm,mop 10 gm/plant.",General,General,General
"query regarding puny ( dog )showing some skin lesion , debility",pregamyl boost --10 ml orally daily,General,General,General
